video_id,channel_name,is_competitor,video_title,thumbnail_description,views,ctr,avg_watch_time_min,retention_30s,retention_1min,retention_50,upload_day,upload_time,video_length_min,content_type
V28,CompetitorD,1,My Best Upload Time Revealed,Clock icon bold arrow,158000,13.0,6.9,79,72,55,Thursday,17:30,10,Explainer
V29,CompetitorD,1,Editing Faster Than Ever,Speed lines stopwatch,92000,9.3,5.8,70,63,46,Friday,18:45,11,Tutorial
V30,CompetitorD,1,This Format Always Wins,Highlighted template outline,180000,14.0,8.0,85,79,68,Saturday,10:00,12,CaseStudy

V31,CompetitorE,1,Why I Lost Subscribers,Down arrow sad face,48000,6.8,3.0,44,36,20,Monday,22:30,10,Commentary
V32,CompetitorE,1,YouTube SEO Does This,Search bar highlight,125000,11.5,6.7,77,70,54,Tuesday,16:00,11,Tutorial
V33,CompetitorE,1,The Perfect Video Length,Timeline ruler graphic,138000,12.2,7.1,80,74,59,Thursday,15:00,12,Education
V34,CompetitorE,1,Why Your Videos Feel Boring,Flat face gray colors,51000,7.5,3.3,46,38,24,Sunday,21:00,9,Analysis
V35,CompetitorE,1,How I Study My Analytics,Dashboard arrows highlight,99000,10.9,6.4,73,66,50,Wednesday,19:00,11,Education

V36,CompetitorF,1,This Intro Hooks Everyone,Explosion text HOOK,190000,14.6,8.6,89,83,72,Saturday,11:00,13,Tutorial
V37,CompetitorF,1,Why My CTR Is Low,Plain text no face,36000,5.9,4.1,62,55,39,Tuesday,23:00,10,Commentary
V38,CompetitorF,1,How to Beat Big Creators,Small vs big comparison,155000,12.7,7.5,82,76,63,Friday,17:30,12,Strategy
V39,CompetitorF,1,This Mistake Kills Retention,Red X timeline graph,88000,9.8,5.2,66,59,41,Thursday,18:15,11,Explainer
V40,CompetitorF,1,I Tested 5 Thumbnails,Five options grid layout,167000,13.9,7.8,84,78,67,Saturday,10:30,12,Experiment

V41,CompetitorG,1,Why Late Uploads Fail,Clock moon icon,42000,6.4,2.9,40,33,18,Monday,01:30,9,Analysis
V42,CompetitorG,1,How I Plan Content Monthly,Calendar arrows notes,104000,11.3,6.5,75,69,53,Tuesday,17:00,11,Education
V43,CompetitorG,1,This Video Pattern Works,Repeated template overlay,162000,13.1,7.9,83,77,66,Friday,18:00,12,CaseStudy
V44,CompetitorG,1,Why Trends Die Fast,Trending arrow fading,71000,8.8,4.4,58,51,36,Sunday,20:30,10,Commentary
V45,CompetitorG,1,How I Improved Watch Time,Graph rising green arrow,134000,12.5,7.2,79,73,60,Thursday,16:30,11,Tutorial

V46,CompetitorH,1,This Title Made Me Curious,Big question mark face,92000,10.6,6.1,74,68,52,Wednesday,18:00,10,Experiment
V47,CompetitorH,1,Why Viewers Skip Intros,Skip button red icon,118000,11.9,6.8,78,72,56,Saturday,11:45,11,Analysis
V48,CompetitorH,1,How I Increased Retention,Retention graph highlight,165000,13.3,8.1,86,80,69,Friday,17:45,12,Tutorial
V49,CompetitorH,1,My Worst Performing Video,Blurred thumbnail dull text,27000,5.2,2.6,39,31,16,Monday,23:50,8,Commentary
V50,CompetitorH,1,What Viewers Really Want,Audience faces thought bubble,148000,12.8,7.6,82,76,64,Thursday,16:00,12,Education
